ratio,cv,score,time
0.05,0,0.8415125,424.26727962493896
0.05,1,0.844875,415.54804968833923
0.05,2,0.8427,418.37895011901855
0.05,3,0.843725,400.9450931549072
0.05,4,0.8444125,434.6629765033722
0.1,0,0.8412,507.12395453453064
0.1,1,0.8444125,403.65797328948975
0.1,2,0.8463875,417.5513505935669
0.1,3,0.8461875,428.9092535972595
0.1,4,0.8450875,443.33143758773804
0.15,0,0.841775,414.38740587234497
0.15,1,0.8455125,448.9467329978943
0.15,2,0.8400125,454.93637228012085
0.15,3,0.840875,425.3835434913635
0.15,4,0.8445625,416.6765387058258
0.2,0,0.844725,417.5235357284546
0.2,1,0.8429125,419.3737769126892
0.2,2,0.843975,419.0578043460846
0.2,3,0.8412875,404.74737668037415
0.2,4,0.844775,435.19599628448486
0.25,0,0.844675,423.9859359264374
0.25,1,0.8491,426.7900674343109
0.25,2,0.8451625,392.9773817062378
0.25,3,0.8423625,402.5699625015259
0.25,4,0.8455,415.00304889678955
0.3,0,0.847225,416.859525680542
0.3,1,0.8438,456.9064767360687
0.3,2,0.8483625,419.8397796154022
0.3,3,0.83795,417.23425936698914
0.3,4,0.843425,424.40559124946594
0.35,0,0.847025,473.09631419181824
0.35,1,0.8471125,422.90880942344666
0.35,2,0.8417875,416.8434748649597
0.35,3,0.84715,399.83654165267944
0.35,4,0.8479,404.932772397995
0.4,0,0.8446625,402.1174373626709
0.4,1,0.845275,426.06333565711975
0.4,2,0.84535,428.89652824401855
0.4,3,0.844,438.98126792907715
0.4,4,0.841575,435.5584783554077
0.45,0,0.8393625,449.35408902168274
0.45,1,0.8421375,433.44848442077637
0.45,2,0.841875,410.5574288368225
0.45,3,0.845425,434.16866087913513
0.45,4,0.84195,432.93207120895386
0.5,0,0.8411375,414.7749373912811
0.5,1,0.844375,427.9422082901001
0.5,2,0.8422,406.6057708263397
0.5,3,0.845575,410.3999969959259
0.5,4,0.84285,407.4119963645935
0.55,0,0.8423875,441.2780668735504
0.55,1,0.8455625,410.69589161872864
0.55,2,0.8392625,412.333153963089
0.55,3,0.8445125,406.34189319610596
0.55,4,0.8475375,417.234073638916
0.6,0,0.843275,471.3432366847992
0.6,1,0.84215,504.9081883430481
0.6,2,0.8454625,439.277813911438
0.6,3,0.8437375,430.2467577457428
0.6,4,0.84365,417.2148406505585
0.65,0,0.83855,491.58751463890076
0.65,1,0.84335,426.26378417015076
0.65,2,0.8443875,404.5978453159332
0.65,3,0.845075,439.3943977355957
0.65,4,0.8446625,402.77596783638
0.7,0,0.84305,418.39296197891235
0.7,1,0.8408,419.79437589645386
0.7,2,0.8437125,414.878764629364
0.7,3,0.8377625,410.10968589782715
0.7,4,0.8435875,406.4576542377472
0.75,0,0.842675,401.78610277175903
0.75,1,0.8429125,427.4670763015747
0.75,2,0.8435875,447.5313832759857
0.75,3,0.8434,413.7457082271576
0.75,4,0.8456125,425.2284336090088
0.8,0,0.8426125,415.72204780578613
0.8,1,0.8415875,459.6279706954956
0.8,2,0.8431375,429.45950055122375
0.8,3,0.8414375,463.34658765792847
0.8,4,0.8414,453.3869094848633
0.85,0,0.84525,451.8099775314331
0.85,1,0.847525,431.0445930957794
0.85,2,0.843375,410.92623472213745
0.85,3,0.843725,418.03495621681213
0.85,4,0.84475,435.8476023674011
0.9,0,0.84545,425.30201745033264
0.9,1,0.8413875,399.0120756626129
0.9,2,0.8403625,416.6371479034424
0.9,3,0.8427875,400.38941621780396
0.9,4,0.8431375,419.2489523887634
0.95,0,0.841525,395.6993405818939
0.95,1,0.842,411.5875897407532
0.95,2,0.842175,384.5989053249359
0.95,3,0.8407125,365.35917592048645
0.95,4,0.844675,362.1080253124237
1.0,0,0.8433375,361.129442691803
1.0,1,0.8430875,215.00701808929443
1.0,2,0.8451,211.00110745429993
1.0,3,0.8462875,195.67750477790833
1.0,4,0.8418875,195.88690400123596
