initial_ratio,new_ratio,cv,score,time
1.0,1.0,0,0.78,2.265902519226074
1.0,1.0,1,0.81,2.249486207962036
1.0,1.0,2,0.74,2.2564451694488525
1.0,1.0,3,0.775,2.59516978263855
1.0,1.0,4,0.785,2.216261863708496
0.75,0.75,0,0.75,1.9963140487670898
0.75,1.0,0,0.74,2.141684055328369
0.75,0.75,1,0.755,2.113431215286255
0.75,1.0,1,0.74,2.695600748062134
0.75,0.75,2,0.795,1.9250125885009766
0.75,1.0,2,0.785,2.2047903537750244
0.75,0.75,3,0.78,1.9465680122375488
0.75,1.0,3,0.8,2.1326804161071777
0.75,0.75,4,0.795,2.0313899517059326
0.75,1.0,4,0.79,2.2985851764678955
0.5625,0.5625,0,0.775,1.769965410232544
0.5625,0.75,0,0.74,2.2008018493652344
0.5625,1.0,0,0.71,2.289374828338623
0.5625,0.5625,1,0.75,2.014694929122925
0.5625,0.75,1,0.74,2.195552110671997
0.5625,1.0,1,0.69,2.6391289234161377
0.5625,0.5625,2,0.77,1.9873991012573242
0.5625,0.75,2,0.75,2.1857943534851074
0.5625,1.0,2,0.71,2.5157225131988525
0.5625,0.5625,3,0.735,2.1550819873809814
0.5625,0.75,3,0.705,2.1720337867736816
0.5625,1.0,3,0.695,2.4857017993927
0.5625,0.5625,4,0.725,1.741332769393921
0.5625,0.75,4,0.72,1.866032361984253
0.5625,1.0,4,0.715,2.109875440597534
0.421875,0.421875,0,0.74,1.8213505744934082
0.421875,0.5625,0,0.755,1.9847280979156494
0.421875,0.75,0,0.735,2.191542625427246
0.421875,1.0,0,0.725,2.1830997467041016
0.421875,0.421875,1,0.76,1.441481113433838
0.421875,0.5625,1,0.725,1.5896801948547363
0.421875,0.75,1,0.7,1.8071508407592773
0.421875,1.0,1,0.655,2.1813762187957764
0.421875,0.421875,2,0.775,1.4617297649383545
0.421875,0.5625,2,0.755,1.6654934883117676
0.421875,0.75,2,0.74,1.8231589794158936
0.421875,1.0,2,0.715,1.968125820159912
0.421875,0.421875,3,0.77,1.4214274883270264
0.421875,0.5625,3,0.715,1.6547462940216064
0.421875,0.75,3,0.69,1.9238865375518799
0.421875,1.0,3,0.69,2.2764368057250977
0.421875,0.421875,4,0.775,1.5159473419189453
0.421875,0.5625,4,0.76,1.8284776210784912
0.421875,0.75,4,0.775,1.8759973049163818
0.421875,1.0,4,0.76,2.0238466262817383
0.31640625,0.31640625,0,0.73,1.4104375839233398
0.31640625,0.421875,0,0.71,1.5136528015136719
0.31640625,0.5625,0,0.685,1.5906822681427002
0.31640625,0.75,0,0.67,1.7291111946105957
0.31640625,1.0,0,0.66,2.2991952896118164
0.31640625,0.31640625,1,0.69,1.2625629901885986
0.31640625,0.421875,1,0.665,1.4624781608581543
0.31640625,0.5625,1,0.66,1.5625402927398682
0.31640625,0.75,1,0.65,1.7531046867370605
0.31640625,1.0,1,0.645,2.5183074474334717
0.31640625,0.31640625,2,0.665,1.3502304553985596
0.31640625,0.421875,2,0.645,1.3855185508728027
0.31640625,0.5625,2,0.645,1.588674545288086
0.31640625,0.75,2,0.585,1.8106634616851807
0.31640625,1.0,2,0.545,2.7251479625701904
0.31640625,0.31640625,3,0.775,1.3229477405548096
0.31640625,0.421875,3,0.74,1.3857080936431885
0.31640625,0.5625,3,0.705,1.5655288696289062
0.31640625,0.75,3,0.69,1.7533278465270996
0.31640625,1.0,3,0.675,2.3119497299194336
0.31640625,0.31640625,4,0.725,1.4276156425476074
0.31640625,0.421875,4,0.72,1.4858911037445068
0.31640625,0.5625,4,0.715,1.615288496017456
0.31640625,0.75,4,0.675,1.8687732219696045
0.31640625,1.0,4,0.69,2.42423415184021
