initial_size,new_size,colapse_rate,cv,score,time
50000,50000,0.0,0,0.84335,45.94663119316101
50000,51000,0.0,0,0.84395,43.38747429847717
50000,52000,0.0,0,0.8437,47.689087867736816
50000,53000,0.0,0,0.84085,46.93217158317566
50000,54000,0.0,0,0.8403,47.419596433639526
50000,55000,0.0,0,0.83995,48.10603594779968
50000,56000,0.0,0,0.8449,51.293718099594116
50000,57000,0.0,0,0.84245,51.750330686569214
50000,58000,0.0,0,0.83975,52.91480278968811
50000,59000,0.0,0,0.84235,53.435463428497314
50000,60000,0.0,0,0.84045,55.12849736213684
50000,61000,0.0,0,0.84035,56.15016293525696
50000,62000,0.0,0,0.8392,61.02339005470276
50000,63000,0.0,0,0.83895,64.28303265571594
50000,64000,0.0,0,0.8413,65.35887479782104
50000,65000,0.0,0,0.8411,65.15742659568787
50000,66000,0.0,0,0.84195,65.0919554233551
50000,67000,0.0,0,0.8424,62.113091468811035
50000,68000,0.0,0,0.84055,68.4394519329071
50000,69000,0.0,0,0.84,61.99395275115967
50000,70000,0.0,0,0.84135,65.62530541419983
50000,71000,0.0,0,0.84545,63.36542320251465
50000,72000,0.0,0,0.84155,67.67406392097473
50000,73000,0.0,0,0.84435,68.04768204689026
50000,74000,0.0,0,0.8447,71.0997724533081
50000,75000,0.0,0,0.8424,74.01224565505981
50000,76000,0.0,0,0.8426,68.71444964408875
50000,77000,0.0,0,0.84285,87.5655608177185
50000,78000,0.0,0,0.84595,71.91869449615479
50000,79000,0.0,0,0.84285,73.88743019104004
50000,80000,0.0,0,0.84315,73.43356919288635
50000,50000,0.0,1,0.8453,42.67989754676819
50000,51000,0.0,1,0.84425,43.98652172088623
50000,52000,0.0,1,0.84625,47.13553714752197
50000,53000,0.0,1,0.84305,46.16201877593994
50000,54000,0.0,1,0.83925,59.69287300109863
50000,55000,0.0,1,0.8439,50.56952619552612
50000,56000,0.0,1,0.8387,62.184510231018066
50000,57000,0.0,1,0.84095,54.256412744522095
50000,58000,0.0,1,0.8401,54.47539281845093
50000,59000,0.0,1,0.8418,53.29610013961792
50000,60000,0.0,1,0.84185,55.419379472732544
50000,61000,0.0,1,0.84025,66.46716904640198
50000,62000,0.0,1,0.8446,63.17772459983826
50000,63000,0.0,1,0.84275,64.10746645927429
50000,64000,0.0,1,0.84495,66.53874206542969
50000,65000,0.0,1,0.84315,64.31787896156311
50000,66000,0.0,1,0.84465,60.55624461174011
50000,67000,0.0,1,0.8452,68.49500298500061
50000,68000,0.0,1,0.84175,65.94067859649658
50000,69000,0.0,1,0.8422,87.66878318786621
50000,70000,0.0,1,0.8456,68.10153722763062
50000,71000,0.0,1,0.8409,67.28179931640625
50000,72000,0.0,1,0.8419,83.03377056121826
50000,73000,0.0,1,0.8439,67.48223495483398
50000,74000,0.0,1,0.8428,68.51249718666077
50000,75000,0.0,1,0.84115,67.87353253364563
