generation,score,collapse_rate,min_df,ngram_range,max_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,time
0,0.64748,0.05,"1","(1, 1)",sqrt,1050,1,2,1,False,25.61418128013611
0,0.81394,0.05,"1","(1, 1)",sqrt,1132,8,2,2,False,27.276422262191772
0,0.8312200000000001,0.05,"1","(1, 1)",sqrt,1010,13,3,2,True,29.813190937042236
0,0.8334400000000001,0.05,"1","(1, 1)",sqrt,1025,19,2,2,False,46.0370876789093
0,0.81774,0.05,"1","(1, 1)",sqrt,925,7,2,1,False,16.681443452835083
0,0.64632,0.05,"1","(1, 1)",sqrt,1027,1,2,1,False,19.93689727783203
0,0.8303,0.05,"1","(1, 1)",sqrt,963,21,2,2,False,49.303075313568115
0,0.82958,0.05,"1","(1, 1)",sqrt,1099,13,2,1,False,59.54412651062012
0,0.83598,0.05,"1","(1, 1)",sqrt,1139,18,4,1,False,61.18796229362488
0,0.8338199999999999,0.05,"2","(1, 2)",sqrt,951,18,2,1,False,62.655872106552124
0,0.8333600000000001,0.05,"2","(1, 1)",sqrt,1023,17,2,1,True,67.7565975189209
0,0.8344800000000001,0.05,"2","(1, 1)",sqrt,962,21,3,1,False,68.62709832191467
0,0.8267599999999999,0.05,"1","(1, 2)",sqrt,1040,15,2,2,False,64.91292214393616
0,0.81362,0.05,"1","(1, 1)",sqrt,1146,6,2,1,False,18.260042667388916
0,0.82642,0.05,"1","(1, 2)",sqrt,983,14,2,1,False,78.46218848228455
0,0.8342200000000002,0.05,"2","(1, 1)",sqrt,1063,20,3,1,False,91.50340223312378
0,0.82806,0.05,"2","(1, 1)",sqrt,1064,10,3,1,True,26.66075348854065
0,0.83622,0.05,"1","(1, 2)",sqrt,888,19,3,1,False,102.73156428337097
0,0.84012,0.05,"1","(1, 1)",sqrt,981,25,2,1,False,102.14930367469788
0,0.8243199999999999,0.05,"2","(1, 1)",sqrt,1165,10,2,1,False,27.220950603485107
0,0.8433200000000001,0.05,"1","(1, 2)",sqrt,1070,21,2,2,False,78.17189574241638
0,0.8370000000000001,0.05,"1","(1, 1)",sqrt,987,26,3,2,True,46.97829556465149
0,0.8350799999999999,0.05,"1","(1, 1)",sqrt,1037,26,2,3,False,62.641159534454346
0,0.8305,0.05,"3","(1, 2)",sqrt,876,19,2,2,False,46.321380615234375
0,0.8325800000000001,0.05,"2","(1, 1)",sqrt,1085,18,4,1,False,52.29775834083557
0,0.82406,0.05,"4","(1, 1)",sqrt,1141,12,4,1,True,28.38972496986389
0,0.8028600000000001,0.05,"1","(1, 3)",sqrt,956,10,3,1,False,91.71010184288025
0,0.8356000000000001,0.05,"3","(1, 2)",sqrt,1106,19,3,1,False,72.461838722229
