0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 10, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 10, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 5, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 5, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 5, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 1, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 10, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 10, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.4780000000000001,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 5, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.45400000000000007,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.477,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.5,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 5, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.534,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.5700000000000001,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 10, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.546,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.396,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.5800000000000001,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 1, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.5810000000000001,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 5, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
0.521,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
